start_time,end_time,id,val
2019-08-11 16:15:19.346634,2019-08-11 16:15:20.530862,10,1
2019-08-12 17:52:48.390092,2019-08-12 17:52:50.477516,10,1
2019-09-16 08:03:28.391574,2019-09-16 08:04:25.064087,10,1
2019-09-28 23:52:54.302221,2019-09-28 23:52:59.452304,10,1
2019-11-09 11:16:04.602661,2019-11-09 11:16:22.307276,10,1
2019-12-24 15:52:17.602505,2019-12-24 15:52:40.063874,10,1
2019-08-10 13:36:23.512669,2019-08-10 13:37:13.725689,14,1
2019-08-10 14:01:20.721578,2019-08-10 14:01:22.242510,14,1
2019-08-10 14:16:53.407800,2019-08-10 14:16:54.827848,14,1
2019-08-11 20:48:43.477498,2019-08-12 17:52:07.304462,14,1
2019-08-12 17:53:53.220844,2019-08-12 17:53:59.280916,14,1
2019-08-14 23:01:23.749901,2019-08-14 23:07:07.777907,14,1
2019-08-14 23:07:13.192456,2019-08-15 00:25:53.511576,14,1
2019-08-15 09:25:21.606328,2019-08-15 10:20:13.698509,14,1
2019-08-30 09:52:33.786530,2019-08-30 10:41:40.283739,14,1
2019-08-31 01:04:38.149874,2019-08-31 01:32:45.011873,14,1
2019-09-01 11:25:30.317584,2019-09-01 14:15:41.493776,14,1
2019-09-02 00:44:42.412523,2019-09-02 00:47:17.345310,14,1
2019-09-28 11:59:08.450598,2019-09-28 12:06:25.934444,14,1
2019-09-29 17:22:04.478157,2019-09-29 22:44:46.328724,14,1
2019-10-04 08:58:53.579971,2019-10-04 10:27:44.557433,14,1
2019-10-06 01:42:01.947858,2019-10-06 02:12:24.510053,14,1
2019-10-06 15:16:27.634468,2019-10-06 17:46:18.488358,14,1
2019-10-06 21:06:14.387983,2019-10-06 21:06:19.511232,14,1
2019-10-11 08:59:53.145899,2019-10-11 10:28:01.221293,14,1
2019-10-12 22:12:34.642888,2019-10-13 00:30:26.482963,14,1
2019-10-19 22:02:02.603696,2019-10-19 23:46:51.881177,14,1
2019-10-20 01:08:00.101719,2019-10-20 01:31:26.277119,14,1
2019-10-20 10:42:13.139102,2019-10-20 10:44:52.619782,14,1
2019-10-20 12:23:57.013599,2019-10-20 12:29:16.473015,14,1
2019-10-23 07:06:02.323506,2019-10-23 07:06:33.287745,14,1
2019-10-25 09:42:12.483977,2019-10-25 09:58:11.431298,14,1
2019-11-09 14:08:45.715194,2019-11-09 14:11:30.806665,14,1
2019-11-10 17:33:10.149717,2019-11-10 17:44:29.745969,14,1
2019-11-10 20:32:58.500778,2019-11-10 20:36:45.116499,14,1
2019-11-15 09:26:16.426509,2019-11-15 10:18:07.543656,14,1
2019-11-16 00:17:34.216505,2019-11-16 00:17:44.474689,14,1
2019-11-22 09:20:34.844932,2019-11-22 09:26:56.530452,14,1
2019-11-29 08:50:56.363221,2019-11-29 10:20:17.751875,14,1
2019-11-29 15:40:44.881064,2019-11-29 15:41:05.505654,14,1
2019-11-30 14:01:19.947267,2019-11-30 14:59:06.416266,14,1
2019-12-01 10:04:24.362209,2019-12-01 10:13:04.844357,14,1
2019-12-01 21:25:07.541174,2019-12-01 23:09:00.368875,14,1
2019-12-06 11:10:08.792499,2019-12-06 11:44:13.764766,14,1
2019-12-07 08:41:25.862335,2019-12-07 09:00:39.996169,14,1
2019-12-08 15:05:22.990024,2019-12-08 15:05:33.262549,14,1
2019-12-08 18:32:28.915288,2019-12-08 18:32:34.034979,14,1
2019-12-08 20:09:33.900531,2019-12-08 20:13:15.256577,14,1
2019-12-13 10:30:47.745961,2019-12-13 10:38:10.638188,14,1
2019-12-13 19:29:15.033032,2019-12-13 19:31:54.669546,14,1
2019-12-13 19:31:59.815256,2019-12-13 20:57:09.779585,14,1
2019-12-13 20:57:35.536720,2019-12-13 20:57:40.682212,14,1
2019-12-13 22:16:59.468046,2019-12-14 00:25:31.634236,14,1
2019-12-14 04:40:03.504575,2019-12-14 05:00:39.933641,14,1
2019-12-14 09:10:06.015448,2019-12-14 09:29:29.950021,14,1
2019-12-14 09:41:41.356482,2019-12-14 10:41:44.453295,14,1
2019-12-15 14:58:20.189896,2019-12-15 15:10:16.298350,14,1
2019-12-15 15:24:01.270609,2019-12-15 17:48:39.208570,14,1
2019-12-15 20:04:18.723986,2019-12-15 22:19:43.346608,14,1
2019-12-20 11:19:40.846273,2019-12-20 15:06:21.572903,14,1
2019-12-20 15:11:04.689667,2019-12-20 15:11:35.588888,14,1
2019-12-24 15:52:22.347846,2019-12-24 15:52:44.634514,14,1
2019-12-26 09:54:36.489576,2019-12-26 09:57:57.337847,14,1
2019-12-26 14:27:43.681345,2019-12-26 14:35:11.757517,14,1
2019-12-26 14:40:56.813496,2019-12-26 14:50:02.808834,14,1
2019-12-26 15:34:10.264003,2019-12-26 15:35:58.549046,14,1
2019-12-27 08:43:08.931045,2019-12-27 08:48:43.691800,14,1
2019-12-29 10:58:21.484594,2019-12-29 11:00:45.609789,14,1
2019-12-30 10:54:57.382971,2019-12-30 11:11:46.819914,14,1
2019-12-30 13:05:53.005818,2019-12-30 13:12:14.238277,14,1
2019-12-31 17:02:03.956064,2019-12-31 17:07:33.810077,14,1
2020-01-01 03:03:13.330301,2020-01-01 03:13:31.605751,14,1
2020-01-01 13:56:34.000551,2020-01-01 14:05:19.139130,14,1
2020-01-02 14:34:39.627472,2020-01-02 15:53:42.413254,14,1
2020-01-02 15:53:47.561841,2020-01-02 15:54:18.474552,14,1
2020-01-02 23:04:12.091758,2020-01-02 23:11:50.851151,14,1
2020-01-03 14:08:44.900646,2020-01-03 14:17:50.783285,14,1
2020-01-03 18:48:36.112303,2020-01-03 23:38:13.720876,14,1
2020-01-04 11:17:06.242997,2020-01-04 11:17:52.610359,14,1
2020-01-04 17:02:06.302405,2020-01-04 20:07:00.653123,14,1
2020-01-05 08:28:37.228653,2020-01-05 08:52:49.385766,14,1
2020-01-05 10:35:08.440188,2020-01-05 10:50:09.634241,14,1
2020-01-11 23:09:05.303257,2020-01-11 23:22:49.053782,14,1
2020-01-12 10:27:34.426807,2020-01-12 11:34:10.371269,14,1
2020-01-17 09:35:05.780913,2020-01-17 10:29:31.142491,14,1
2020-01-24 11:38:06.755751,2020-01-24 11:54:25.307299,14,1
2020-01-24 22:55:55.286076,2020-01-24 23:05:47.503367,14,1
2020-01-27 00:16:27.878382,2020-01-27 00:17:50.316117,14,1
2020-01-31 09:36:40.223291,2020-01-31 10:17:21.712671,14,1
2020-01-31 20:54:42.004535,2020-01-31 20:54:52.306606,14,1
2020-01-31 20:55:02.612019,2020-01-31 20:55:43.868408,14,1
2020-01-31 21:39:56.396939,2020-01-31 21:40:22.104840,14,1
2020-02-01 01:46:18.647295,2020-02-01 01:49:49.952735,14,1
2020-02-07 08:39:50.634849,2020-02-07 08:52:22.374958,14,1
