model_name,model_number,sensor_id,window_size,future_steps,dt,with_time,batch,epochs,loss,accuracy,val_loss,val_accuracy,mean true negatives,mean false positives,mean false negatives,mean true positives,mean_binary_accuracy
vector_output_activity_synthesis,21,-1,96,48,900,True,128,100,0.005997194908559322,0.8768101930618286,0.17212636768817902,0.8870442509651184,,,,,0.8389756944444443
vector_output_activity_synthesis,12,-1,120,240,3600,True,128,3000,0.014144637621939182,0.6685763597488403,0.1356225609779358,0.5815972089767456,,,,,0.6404513888888889
encoder-decoder,4,6,120,120,3600,True,128,3000,0.23583728075027466,0.0590277761220932,0.9922787547111511,0.0,73.54166666666667,6.229166666666667,35.75,4.479166666666667,0.6501736044883728
encoder-decoder,8,9,120,120,3600,True,128,3000,0.0967695489525795,0.2708333432674408,0.6321287751197815,0.0833333358168602,109.95833333333333,2.6458333333333335,7.166666666666667,0.22916666666666666,0.9182291030883789
vector_output_activity_synthesis,20,-1,96,48,900,True,128,100,0.004231319762766361,0.8931233286857605,0.2410382479429245,0.9462890625,,,,,0.8703342013888888
lstm_vector_output,1,6,48,24,3600,True,128,3000,0.10383003950119019,0.28070175647735596,3.723372459411621,0.125,13.625,4.625,3.7708333333333335,1.9791666666666667,0.6501736044883728
vector_output_activity_synthesis,22,-1,96,1,900,True,128,100,0.0050354222767055035,0.8972705006599426,0.11095736175775528,0.734375,,,,,0.828125
